brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
MOTOSPEED,"MOTOSPEED CK61 RGB Mechanical Gaming Keyboard  61 Keys Anti-ghosting with Backlight for Mac, Android, Windows (Kailh Box  Switches)",55.99,29.99,4.6,34.0,,,"Blue Switches, $29.99$29.99', 'selected, Kailh Box Switches, $29.99$29.99', 'Red Switches, $29.99$29.99"
MOTOSPEED,Motospeed CK61 RGB - Keyboard - backlit - USB,49.99,29.99,4.6,34.0,,,"Blue Switches, $29.99$29.99', 'Kailh Box Switches, $29.99$29.99', 'selected, Red Switches, $29.99$29.99"
Hvxrjkn,"Hvxrjkn 61 Key Keyboard Piano, Digital Electronic Musical Keyboard, for Beginner Electric Piano Keyboard Set with USB cable, Microphone - Black",40.99,23.99,3.0,25.0,,,"selected, Piano without Music Stand, $23.99Piano without Music StandNow $23.99"
Oyeeice,"Keyboard Case for iPad 9th/8th/7th Gen 10.2 inch, iPad Air 3rd, Pro 10.5 - Colorful Backlite Keyboard, 360 Rotatable Detachable Magnetic Protective Cover, Pencil Holder, Auto Sleep/Wake",0.0,0.0,4.5,39.0,,,"PB-Black, $28.99$28.99', 'PB-Blue, $30.99$30.99', 'PB-Pink, $28.99$28.99', 'PB-Purple, $30.99$30.99', 'PB-Teal, $30.99$30.99', 'XM-Black, $19.99$19.99', 'XM-Pink, $19.99$19.99"
Oyeeice,"Keyboard Case for iPad 9th/8th/7th Gen 10.2 inch, iPad Air 3rd, Pro 10.5 - Colorful Backlite Keyboard, 360 Rotatable Detachable Magnetic Protective Cover, Pencil Holder, Auto Sleep/Wake",0.0,0.0,4.5,39.0,,,"selected, PB-Black, $28.99$28.99', 'PB-Blue, $30.99$30.99', 'PB-Pink, $28.99$28.99', 'PB-Purple, $30.99$30.99', 'PB-Teal, $30.99$30.99', 'XM-Black, $19.99$19.99', 'XM-Pink, $19.99$19.99"
Oyeeice,"Keyboard Case for iPad 9th/8th/7th Gen 10.2 inch, iPad Air 3rd, Pro 10.5 - Colorful Backlite Keyboard, 360 Rotatable Detachable Magnetic Protective Cover, Pencil Holder, Auto Sleep/Wake",0.0,0.0,4.5,39.0,,,"PB-Black, $28.99$28.99', 'selected, PB-Blue, $30.99$30.99', 'PB-Pink, $28.99$28.99', 'PB-Purple, $30.99$30.99', 'PB-Teal, $30.99$30.99', 'XM-Black, $19.99$19.99', 'XM-Pink, $19.99$19.99"
Oyeeice,"Keyboard Case for iPad 9th/8th/7th Gen 10.2 inch, iPad Air 3rd, Pro 10.5 - Colorful Backlite Keyboard, 360 Rotatable Detachable Magnetic Protective Cover, Pencil Holder, Auto Sleep/Wake",0.0,0.0,4.5,39.0,,,"PB-Black, $28.99$28.99', 'PB-Blue, $30.99$30.99', 'selected, PB-Pink, $28.99$28.99', 'PB-Purple, $30.99$30.99', 'PB-Teal, $30.99$30.99', 'XM-Black, $19.99$19.99', 'XM-Pink, $19.99$19.99"
Generic,Hamzer 61-Key Digital Music Piano Keyboard with Microphone and Sticker Sheet,0.0,0.0,4.0,2.0,"https://i5.walmartimages.com/seo/Hamzer-61-Key-Digital-Music-Piano-Keyboard-with-Microphone-and-Sticker-Sheet_d7dc27d8-9175-40b2-956b-177b817d2a5c_1.f7000a672794401092258620c4e3812e.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Hamzer-61-Key-Digital-Music-Piano-Keyboard-with-Microphone-and-Sticker-Sheet_d7dc27d8-9175-40b2-956b-177b817d2a5c_1.f7000a672794401092258620c4e3812e.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,
LFhope,"Gaming Keyboard and Mouse Combo, RGB Rainbow LED Backlit Keyboard, PC Gaming Keyboard Mechanical, 6 Changing Colors Mouse, USB Wired Keyboard Gaming for Windows Computer PC Gamer Laptop Office Work",0.0,0.0,4.2,25.0,,,"selected, Black, $15.88$15.88', 'White, $15.88$15.88"
LFhope,"Gaming Keyboard and Mouse Combo, RGB Rainbow LED Backlit Keyboard, PC Gaming Keyboard Mechanical, 6 Changing Colors Mouse, USB Wired Keyboard Gaming for Windows Computer PC Gamer Laptop Office Work",0.0,0.0,4.2,25.0,,,"Black, $15.88$15.88', 'selected, White, $15.88$15.88"
